Gen	theta_1red	theta_2green	theta_3redgreen	tau_3redgreen	M_red->green	lnL
16560	0.021527	0.033864	0.002954	0.004648	1.914242	-3512.592
16564	0.022851	0.046948	0.003663	0.005649	2.080592	-3496.380
16568	0.023764	0.060993	0.002839	0.005649	2.544907	-3514.131
16572	0.027118	0.050654	0.002367	0.005649	1.414418	-3513.765
16576	0.028098	0.071492	0.003797	0.006549	1.821543	-3519.184
16580	0.025628	0.041923	0.004350	0.005649	1.225209	-3520.768
16584	0.032165	0.046816	0.002080	0.006706	1.113541	-3544.875
16588	0.029963	0.044926	0.004451	0.006320	1.153780	-3534.260
16592	0.025730	0.042900	0.003997	0.005848	2.098154	-3508.083
16596	0.025636	0.047476	0.002993	0.005603	2.098154	-3532.222
16600	0.027042	0.047247	0.003096	0.006422	1.872489	-3517.602
16604	0.021808	0.035959	0.003806	0.004937	2.494821	-3509.566
16608	0.022014	0.038907	0.001867	0.004937	2.370326	-3484.404
16612	0.023848	0.036798	0.001668	0.004937	2.370326	-3507.702
16616	0.023448	0.029679	0.002635	0.004983	1.259208	-3496.995
16620	0.023461	0.043730	0.002101	0.004843	2.037631	-3512.239
16624	0.022446	0.042671	0.001320	0.004843	2.037631	-3499.700
16628	0.023488	0.039032	0.002213	0.004843	1.971311	-3496.203
16632	0.017715	0.043423	0.002104	0.004030	2.266580	-3510.445
16636	0.020222	0.043261	0.001897	0.003969	2.266580	-3498.815
16640	0.019090	0.042971	0.002908	0.004292	2.071878	-3530.545
16644	0.017188	0.037802	0.004948	0.004031	1.954028	-3540.986
16648	0.016499	0.038687	0.005173	0.004031	2.688928	-3520.107
16652	0.015461	0.027280	0.005701	0.003379	2.003850	-3528.479
16656	0.018454	0.032104	0.005140	0.003797	2.003850	-3501.658
16660	0.015874	0.034303	0.004166	0.003345	2.002059	-3520.702
16664	0.018529	0.033390	0.002562	0.004034	1.448648	-3502.431
16668	0.013850	0.030019	0.002603	0.002974	2.324189	-3533.180
16672	0.012279	0.034419	0.001863	0.002564	2.324189	-3500.670
16676	0.009904	0.027902	0.002062	0.002335	2.065134	-3518.690
16680	0.014236	0.039993	0.002671	0.003221	1.809023	-3493.662
16684	0.012041	0.030106	0.001437	0.002756	2.408637	-3504.302
